step,error_norm,px,py,pz,q1,q2,q3,q4,q5,q6,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6
15,0.5308040891791664,0.159269691813544,0.006312002216278513,0.31452900956163293,0.03347312553184821,-0.04,0.04,0.007759223700630931,0.04,0.0,1.5579290981609215,-2.5,2.5,0.3679706805568371,2.5,0.0
16,0.5301388786899338,0.15970422074670082,0.006586228324964936,0.3151949068700973,0.03497100710677678,-0.0425,0.0425,0.008115004009679088,0.0425,0.0,1.4978815749285692,-2.5,2.5,0.35578030904815716,2.5,0.0
17,0.5294736435280955,0.16014036125435743,0.0068518900417068734,0.3158600720538515,0.03641127730035945,-0.045000000000000005,0.045000000000000005,0.008459091678831184,0.045000000000000005,0.0,1.440270193582668,-2.5,2.5,0.3440876691520965,2.5,0.0
18,0.5288083218621803,0.16057813897843032,0.007109321764196527,0.3165245006859107,0.03779626941512209,-0.04750000000000001,0.04750000000000001,0.008791962846165206,0.04750000000000001,0.0,1.3849921147626403,-2.5,2.5,0.33287116733402156,2.5,0.0
19,0.5281428567002759,0.16101757642426096,0.0073588444185408095,0.3171881883719544,0.03912821838136406,-0.05000000000000001,0.05000000000000001,0.009114073018231049,0.05000000000000001,0.0,1.3319489662419681,-2.5,2.5,0.3221101720658422,2.5,0.0
20,0.5274771955195917,0.16145869324195275,0.007600766012774797,0.3178511307478211,0.04040926502817631,-0.05250000000000001,0.05250000000000001,0.00942585798898974,0.05250000000000001,0.0,1.2810466468122526,-2.5,2.5,0.3117849707586916,2.5,0.0
21,0.5268112899247834,0.16190150648385518,0.007835382168353194,0.31851332347722255,0.04164146016669818,-0.055000000000000014,0.055000000000000014,0.009727734717549806,0.055000000000000014,0.0,1.2321951385218761,-2.5,2.5,0.3018767285600661,2.5,0.0
22,0.5261450953327816,0.16234603084018182,0.00806297663032652,0.3191747622496576,0.04282676849366358,-0.057500000000000016,0.057500000000000016,0.010020102166495575,0.057500000000000016,0.0,1.185308326965402,-2.5,2.5,0.29236744894576955,2.5,0.0
23,0.5254785706820521,0.16279227885457806,0.008283821756910725,0.3198354427785085,0.04396707232298693,-0.06000000000000002,0.06000000000000002,0.01030334210253358,0.06000000000000002,0.0,1.1403038293233516,-2.5,2.5,0.28323993603800574,2.5,0.0
24,0.5248116781643716,0.16324026112130668,0.00849817898915902,0.3204953607993061,0.04506417515284334,-0.06250000000000001,0.06250000000000001,0.01057781986111587,0.06250000000000001,0.0,1.0971028298564054,-2.5,2.5,0.274477758582289,2.5,0.0
25,0.5241443829773579,0.1636899864655841,0.00870629930143859,0.3211545120681462,0.04611980507540703,-0.06500000000000002,0.06500000000000002,0.010843885076633118,0.06500000000000002,0.0,1.0556299225636883,-2.5,2.5,0.2660652155172471,2.5,0.0
