sample_index,theta1,theta2,theta3,theta4,theta5,theta6,position_error_norm,rotation_error_norm,jacobian_error_norm
58,0.5584705512215171,-2.3528720863325567,2.464662800096485,-2.0379939146247095,1.75134689556457,0.2274318140662881,4.041272810440265e-16,1.2251029367612229e-15,7.924995488816864e-16
59,-0.21089205151639057,-1.2411573836658807,3.0556935600263517,1.8553172423748134,1.5256749682838304,0.3127234063810027,4.159286684692262e-16,1.1331927583082863e-15,5.383933589100273e-16
60,2.673664661278631,-2.2886926698970806,0.468414263600442,-2.556204126153236,2.0393761836256363,-0.2555699355182084,2.5739461938222585e-16,8.54583310691029e-16,4.518113851789887e-16
61,1.700792780079428,-0.8547983253976592,1.3345510333129527,2.469872593641522,2.3638496559190223,-0.7205202855420483,2.4835037038225095e-16,1.3429224847042392e-15,4.1813156056998703e-16
62,-0.8420094898132651,-1.7824560514689165,0.6304465944999986,-2.183743090238412,2.9019951364648064,-0.19498132319591477,1.9242142079520307e-16,1.4293447747153169e-15,4.683785509536028e-16
63,-0.7234170987800592,-0.7028171574388173,2.2119722610115997,2.7040679183984655,2.4189346311191158,-0.06477956864894341,3.227891107075167e-16,1.0871721146490313e-15,5.763649749363156e-16
64,-0.7665712644188774,-0.0347579831967626,2.871040944014574,2.797406892023815,0.36728358937282823,1.1006757526590574,2.0770370905276122e-16,1.1814880548240293e-15,4.103235279525655e-16
65,0.849858080745487,-2.2830036363287074,2.3530319998768827,1.1537974636537824,0.0381383262546688,-0.14344159981691584,3.4219371797089426e-16,1.2803716525534355e-15,5.725697848896897e-16
66,2.017476969417191,-1.8320665341053664,1.8341923271942044,-0.3576524121790623,0.9359749134717239,1.3139075519188401,2.482534153247273e-16,1.3736206050129617e-15,4.402755863699709e-16
67,1.744023019675398,-2.312470131410113,3.9881386313502922,2.351040150708021,0.8801161573785208,1.057855260135346,2.607399605677454e-16,1.2926472139568343e-15,3.399676999603811e-16
68,-2.440198902397426,-0.0023277007669797456,2.6627389444261476,0.9307750964645414,0.2803662536508115,1.2466848725354034,4.710277376051325e-16,1.492620433890396e-15,8.102124374185915e-16
69,-2.9202030801322896,-1.9738470490930178,0.57208750066654,1.7159612322917552,0.6144331043599834,1.2894040331909797,2.285625729237046e-16,1.0970092810967994e-15,4.754782193849348e-16
70,0.9688680438304389,-2.50597695271379,0.021719336514801846,-2.779720914510727,1.8783680507079559,0.9466528860985639,1.3951318755036565e-16,1.1581094996895894e-15,3.7336875344987927e-16
71,-1.6209725121101914,-0.3915370084000105,0.22892776061304154,1.8659758925783927,2.876165833534069,0.8544203731877549,1.389512421408389e-16,1.2337969962857226e-15,3.753412089226838e-16
72,1.2283488606675506,-0.4212514314960041,0.16060519818826569,-1.8489509135418567,0.3872634058474935,0.0142273092059777,1.798766884999431e-16,9.931106305546747e-16,4.439875542615016e-16
73,1.5201663956388356,-0.9619692041013634,3.40452439904774,-2.1376794468652367,2.277325384999001,-0.9638497186716412,3.7675062959647363e-16,1.4443570596498132e-15,7.131929029678753e-16
74,-1.4212957418296386,-0.75424778706861,3.920819139594727,0.6915703570578313,0.16895097647301635,0.3652101655724531,2.5066604164831255e-16,1.2289680266943806e-15,5.321064560611885e-16
75,-2.837426580202964,-0.3012211504462754,2.838313140402483,-2.0266073521804797,0.284335118055014,-0.9937056613157984,3.521787733787174e-16,1.2210087509719819e-15,7.87724922772704e-16
76,2.976168513235993,-1.4077423296079266,3.136323793365632,0.8457317210682165,1.7744807648717758,-1.114291000351744,2.651347637902923e-16,1.4729590050645777e-15,3.122237218312283e-16
